phase,suite,views,representative_id,feasible_worlds,initial_candidates,root_candidates,root_domains,root_removed,root_unsupported_survivors,exact_candidates,identifiable_cells,freely_variable_cells,components,component_sizes,shape_component_sizes,largest_component,shape_variables,search_nodes,unresolved_variables,occupancy_variables,literal_queries,infeasible_queries,max_query_nodes,max_unsat_query_nodes,branches,propagation_calls,fixed_kernel_calls,factor_updates,seconds,audited_pruning_steps
A0,axis_1,1,0,1,24,8,"[1, 1, 1, 1, 1, 1, 1, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,8,0,0,0,0,10,9,98,8.41460000629013e-05,8
A0,axis_1,1,1,3,24,10,"[2, 1, 1, 1, 7, 1, 1, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,88,9.831700003815058e-05,8
A0,axis_1,1,2,3,24,10,"[4, 1, 1, 1, 7, 1, 1, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,88,9.217899992108869e-05,8
A0,axis_1,1,3,3,24,10,"[1, 2, 1, 1, 1, 7, 1, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,88,0.00010972400013997685,8
A0,axis_1,1,6,3,24,10,"[1, 4, 1, 1, 1, 7, 1, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,88,8.61989999521029e-05,8
A0,axis_1,1,9,3,24,10,"[1, 1, 2, 1, 1, 1, 7, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,89,9.223899996868568e-05,8
A0,axis_1,1,16,27,24,14,"[2, 4, 2, 1, 7, 7, 7, 1]",10,0,14,5,3,0,[],[],0,0,0,3,3,5,0,0,0,0,7,6,69,0.00010391599994363787,8
A0,axis_1,1,18,3,24,10,"[1, 1, 4, 1, 1, 1, 7, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,89,9.274900003219955e-05,8
A0,axis_1,1,27,3,24,10,"[1, 1, 1, 2, 1, 1, 1, 7]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,88,8.844299986776605e-05,8
A0,axis_1,1,34,27,24,14,"[2, 4, 1, 2, 7, 7, 1, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,5,0,0,0,0,7,6,68,0.00011610399997152854,8
A0,axis_1,1,39,27,24,14,"[1, 2, 2, 2, 1, 7, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,5,0,0,0,0,7,6,69,0.00010103099998559628,8
A0,axis_1,1,40,81,24,16,"[2, 2, 2, 2, 7, 7, 7, 7]",8,0,16,4,4,0,[],[],0,0,0,4,4,4,0,0,0,0,6,5,59,0.00010159299995393667,8
A0,axis_1,1,52,81,24,16,"[2, 4, 4, 2, 7, 7, 7, 7]",8,0,16,4,4,0,[],[],0,0,0,4,4,4,0,0,0,0,6,5,59,0.00010205399985352415,8
A0,axis_1,1,54,3,24,10,"[1, 1, 1, 4, 1, 1, 1, 7]",14,0,10,7,1,0,[],[],0,0,0,1,1,7,0,0,0,0,9,8,88,8.638899998913985e-05,8
A0,axis_1,1,71,81,24,16,"[4, 4, 2, 4, 7, 7, 7, 7]",8,0,16,4,4,0,[],[],0,0,0,4,4,4,0,0,0,0,6,5,59,0.00010271400014971732,8
A0,axis_1,1,80,81,24,16,"[4, 4, 4, 4, 7, 7, 7, 7]",8,0,16,4,4,0,[],[],0,0,0,4,4,4,0,0,0,0,6,5,59,0.000101623000091422,8
A0,axis_1,1,81,1,24,8,"[1, 1, 1, 1, 2, 1, 1, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,89,9.683500002211076e-05,9
A0,axis_1,1,102,9,24,12,"[1, 2, 4, 1, 2, 7, 7, 1]",12,0,12,6,2,0,[],[],0,0,0,2,2,5,0,0,0,0,7,6,70,0.00011354100001881307,9
A0,axis_1,1,105,9,24,12,"[1, 4, 4, 1, 2, 7, 7, 1]",12,0,12,6,2,0,[],[],0,0,0,2,2,5,0,0,0,0,7,6,70,0.00010495800006538047,9
A0,axis_1,1,120,27,24,14,"[1, 2, 2, 2, 2, 7, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,0.00010216300006504753,9
A0,axis_1,1,129,27,24,14,"[1, 2, 4, 2, 2, 7, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,9.999999997489795e-05,9
A0,axis_1,1,159,27,24,14,"[1, 4, 4, 4, 2, 7, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,9.805800004869525e-05,9
A0,axis_1,1,162,1,24,8,"[1, 1, 1, 1, 4, 1, 1, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,89,7.892899998296343e-05,9
A0,axis_1,1,207,9,24,12,"[1, 1, 4, 2, 4, 1, 7, 7]",12,0,12,6,2,0,[],[],0,0,0,2,2,5,0,0,0,0,7,6,70,0.00010765199999696051,9
A0,axis_1,1,210,27,24,14,"[1, 2, 4, 2, 4, 7, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,0.00010574899988569086,9
A0,axis_1,1,243,1,24,8,"[1, 1, 1, 1, 1, 2, 1, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,89,8.306499989885197e-05,9
A0,axis_1,1,281,27,24,14,"[4, 1, 2, 2, 7, 2, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,9.887800001706637e-05,9
A0,axis_1,1,308,27,24,14,"[4, 1, 2, 4, 7, 2, 7, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,0.00012292399992475112,9
A0,axis_1,1,486,1,24,8,"[1, 1, 1, 1, 1, 4, 1, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,89,7.98800001575728e-05,9
A0,axis_1,1,585,3,24,10,"[1, 1, 4, 1, 2, 4, 7, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,5,0,0,0,0,7,6,71,0.00016569800004617719,10
A0,axis_1,1,657,3,24,10,"[1, 1, 2, 1, 4, 4, 7, 1]",14,0,10,7,1,0,[],[],0,0,0,1,1,5,0,0,0,0,7,6,71,9.861800003818644e-05,10
A0,axis_1,1,729,1,24,8,"[1, 1, 1, 1, 1, 1, 2, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,90,0.00010603000009723473,10
A0,axis_1,1,761,27,24,14,"[4, 2, 1, 2, 7, 7, 2, 7]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,9.606399999029236e-05,10
A0,axis_1,1,1028,9,24,12,"[4, 1, 1, 4, 7, 2, 2, 7]",12,0,12,6,2,0,[],[],0,0,0,2,2,4,0,0,0,0,6,5,61,9.400099997947109e-05,11
A0,axis_1,1,1270,9,24,12,"[2, 1, 1, 4, 7, 4, 2, 7]",12,0,12,6,2,0,[],[],0,0,0,2,2,4,0,0,0,0,6,5,61,9.267900009035657e-05,11
A0,axis_1,1,1458,1,24,8,"[1, 1, 1, 1, 1, 1, 4, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,90,8.030999993025034e-05,10
A0,axis_1,1,1491,9,24,12,"[1, 4, 1, 2, 1, 7, 4, 7]",12,0,12,6,2,0,[],[],0,0,0,2,2,5,0,0,0,0,7,6,70,9.572399994794978e-05,10
A0,axis_1,1,1755,3,24,10,"[1, 1, 1, 4, 1, 2, 4, 7]",14,0,10,7,1,0,[],[],0,0,0,1,1,5,0,0,0,0,7,6,71,9.176799994747853e-05,11
A0,axis_1,1,2106,1,24,8,"[1, 1, 1, 1, 4, 4, 4, 1]",16,0,8,8,0,0,[],[],0,0,0,0,0,5,0,0,0,0,7,6,72,8.406599999943865e-05,12
A0,axis_1,1,2133,3,24,10,"[1, 1, 1, 2, 4, 4, 4, 7]",14,0,10,7,1,0,[],[],0,0,0,1,1,4,0,0,0,0,6,5,62,0.00010567899994384788,12
A0,axis_1,1,2187,1,24,8,"[1, 1, 1, 1, 1, 1, 1, 2]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,89,7.95589999142976e-05,9
A0,axis_1,1,2200,27,24,14,"[2, 2, 2, 1, 7, 7, 7, 2]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,9.95299999431154e-05,9
A0,axis_1,1,2292,9,24,12,"[1, 4, 4, 1, 2, 7, 7, 2]",12,0,12,6,2,0,[],[],0,0,0,2,2,4,0,0,0,0,6,5,61,9.867799985840975e-05,10
A0,axis_1,1,3240,1,24,8,"[1, 1, 1, 1, 2, 2, 2, 2]",16,0,8,8,0,0,[],[],0,0,0,0,0,4,0,0,0,0,6,5,63,8.468700002595142e-05,13
A0,axis_1,1,4374,1,24,8,"[1, 1, 1, 1, 1, 1, 1, 4]",16,0,8,8,0,0,[],[],0,0,0,0,0,7,0,0,0,0,9,8,89,8.082100021056249e-05,9
A0,axis_1,1,4376,3,24,10,"[4, 1, 1, 1, 7, 1, 1, 4]",14,0,10,7,1,0,[],[],0,0,0,1,1,6,0,0,0,0,8,7,79,8.790199990471592e-05,9
A0,axis_1,1,4387,27,24,14,"[2, 2, 2, 1, 7, 7, 7, 4]",10,0,14,5,3,0,[],[],0,0,0,3,3,4,0,0,0,0,6,5,60,9.995000004892063e-05,9
A0,axis_1,1,4716,3,24,10,"[1, 1, 4, 1, 2, 2, 7, 4]",14,0,10,7,1,0,[],[],0,0,0,1,1,4,0,0,0,0,6,5,62,9.151700010079367e-05,11
A0,axis_1,1,5265,1,24,8,"[1, 1, 1, 1, 4, 1, 2, 4]",16,0,8,8,0,0,[],[],0,0,0,0,0,5,0,0,0,0,7,6,72,8.81329999629088e-05,12
A0,axis_1,1,5839,9,24,12,"[2, 4, 1, 1, 7, 7, 4, 4]",12,0,12,6,2,0,[],[],0,0,0,2,2,4,0,0,0,0,6,5,61,9.234899994225998e-05,11
