suite,representative,feasible_worlds,initial_candidates,root_candidates,removed_by_root,exact_candidates,unsupported_survivors,identifiable_cells,freely_variable_cells,literal_queries,infeasible_queries,fixed_calls,gac_calls,factor_updates,deletions,branches,search_nodes,median_solver_us,root_domains,supported_domains
axis_1,0,1,24,8,16,8,0,8,0,8,0,9,1,58,16,0,0,1.643,1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1
axis_1,9,4,24,11,13,11,0,6,0,8,0,9,1,56,14,0,0,1.733,1 1 3 1 1 1 7 1,1 1 3 1 1 1 7 1
axis_1,18,4,24,11,13,11,0,6,0,8,0,9,1,56,14,0,0,1.733,1 1 5 1 1 1 7 1,1 1 5 1 1 1 7 1
axis_1,27,4,24,11,13,11,0,6,0,8,0,9,1,56,14,0,0,1.703,1 1 1 3 1 1 1 7,1 1 1 3 1 1 1 7
axis_1,36,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,1.883,1 1 3 3 1 1 7 7,1 1 3 3 1 1 7 7
axis_1,45,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,1.793,1 1 5 3 1 1 7 7,1 1 5 3 1 1 7 7
axis_1,54,4,24,11,13,11,0,6,0,8,0,9,1,56,14,0,0,1.732,1 1 1 5 1 1 1 7,1 1 1 5 1 1 1 7
axis_1,63,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,1.793,1 1 3 5 1 1 7 7,1 1 3 5 1 1 7 7
axis_1,72,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,1.773,1 1 5 5 1 1 7 7,1 1 5 5 1 1 7 7
axis_1,1,4,24,11,13,11,0,6,0,8,0,9,1,56,14,0,0,1.712,3 1 1 1 7 1 1 1,3 1 1 1 7 1 1 1
axis_1,10,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,2.884,3 1 3 1 7 1 7 1,3 1 3 1 7 1 7 1
axis_1,19,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,1.813,3 1 5 1 7 1 7 1,3 1 5 1 7 1 7 1
axis_1,28,16,24,14,10,14,0,4,0,8,0,9,1,54,12,0,0,1.782,3 1 1 3 7 1 1 7,3 1 1 3 7 1 1 7
